體制	學校名稱	學校網址	名称	可面向内地招生
公帑資助院校	香港城市大學	https://www.cityu.edu.hk/	香港城市大学	1
公帑資助院校	香港浸會大學	https://www.hkbu.edu.hk/	香港浸会大学	1
公帑資助院校	嶺南大學	https://www.ln.edu.hk/	岭南大学	1
公帑資助院校	香港中文大學	https://www.cuhk.edu.hk/	香港中文大学	1
公帑資助院校	香港教育大學	https://www.eduhk.hk/	香港教育大学	1
公帑資助院校	香港演藝學院	https://www.hkapa.edu/tch/	香港演艺学院	1
公帑資助院校	香港理工大學	https://www.polyu.edu.hk/	香港理工大学	1
公帑資助院校	香港科技大學	https://www.ust.hk/	香港科技大学	1
公帑資助院校	香港大學	https://www.hku.hk/	香港大学	1
自資專上院校	聖方濟各大學	https://www.cihe.edu.hk/	圣方济各大学	
自資專上院校	香港珠海學院	https://www.chuhai.edu.hk/	香港珠海学院	1
自資專上院校	香港伍倫貢學院	https://www.cityu.edu.hk/	香港伍伦贡学院	
自資專上院校	宏恩基督教學院	https://www.gcc.edu.hk/	宏恩基督教学院	
自資專上院校	港專學院	https://www.hkct.edu.hk/	港专学院	
自資專上院校	香港都會大學	https://www.hkmu.edu.hk/	香港都会大学	1
自資專上院校	香港能仁專上學院	https://www.ny.edu.hk/	香港能仁专上学院	
自資專上院校	香港樹仁大學	https://www.hksyu.edu/	香港树仁大学	1
自資專上院校	香港高等教育科技學院（職業訓練局機構成員）	https://www.thei.edu.hk/	香港高等教育科技学院	1
自資專上院校	香港恒生大學	https://www.hsu.edu.hk/	香港恒生大学	1
自資專上院校	東華學院	https://www.twc.edu.hk/	东华学院	1
自資專上院校	耀中幼教學院	https://www.yccece.edu.hk/	耀中幼教学院	
自資專上院校	明德學院	https://www.centennialcollege.hku.hk	明德学院	
自資專上院校	明愛白英奇專業學校	https://www.cbcc.edu.hk/		
自資專上院校	香港大學專業進修學院	https://hkuspace.hku.hk/		
自資專上院校	香港大學附屬學院	https://hkuspace.hku.hk/		
自資專上院校	香港大學專業進修學院保良局何鴻燊社區書院	https://hkuspace-plk.hku.hk/		
自資專上院校	香港藝術學院	https://www.hkas.edu.hk/		
自資專上院校	香港浸會大學 – 國際學院	https://www.cie.hkbu.edu.hk/		
自資專上院校	香港浸會大學持續教育學院	https://www.sce.hkbu.edu.hk/		
自資專上院校	香港專業進修學校	https://www.hkct.edu.hk/		
自資專上院校	香港科技專上書院	https://www.hkit.edu.hk/		
自資專上院校	香港都會大學李嘉誠專業進修學院	https://www.hkmu.edu.hk/		
自資專上院校	嶺南大學持續進修學院	https://life.ln.edu.hk/		
自資專上院校	香港中文大學專業進修學院	https://cuscshd.hk/		
自資專上院校	香港理工大學 – 香港專上學院	https://www.hkcc-polyu.edu.hk/		
自資專上院校	香港理工大學專業進修學院	https://www.speed-polyu.edu.hk/		
自資專上院校	職業訓練局 - 香港專業教育學院、香港知專設計學院、國際廚藝學院及香港資訊科技學院	https://www.vtc.edu.hk/		
自資專上院校	青年會專業書院	https://www.ymca.edu.hk/		
