状态	地区	统计年份	学校名称	主管部门	备注
0	北京市	2016	中国科学院管理干部学院	中国科学院	
0	北京市	2007	北京市建设职工大学	北京市	
0	北京市	2013	北京市机械工业局职工大学	北京市	
0	北京市	2013	北京市汽车工业总公司职工大学	北京市	
0	北京市	2013	北京广播电视大学	北京市	
0	北京市	2016	北京市房地产职工大学	北京市	
0	北京市	2016	北京市职工体育运动技术学院	北京市	
0	北京市	2013	中央广播电视大学	教育部	
0	天津市	2015	天津市财贸管理干部学院	天津市	
0	天津市	2016	天津汽车工业总公司职工大学	天津市	
0	河北省	2010	中国环境管理干部学院	河北省	
0	河北省	2013	农业部乡镇企业管理干部学院	河北省	
0	河北省	2013	张家口市职工大学	河北省	
0	河北省	2013	张家口教育学院	河北省	
0	河北省	2013	河北省经贸管理干部学院	河北省	
0	河北省	2013	河北省职工医学院	河北省	
0	河北省	2013	石油物探职工大学	河北省	
0	河北省	2013	秦皇岛教育学院	河北省	
0	河北省	2016	邯郸市职工大学	河北省	
0	山西省	2010	山西煤炭管理干部学院	山西省	
0	山西省	2013	广播电影电视管理干部学院	山西省	
0	山西省	2015	山西政法管理干部学院	山西省	
0	山西省	2015	山西青年管理干部学院	山西省	
0	山西省	2016	山西经济管理干部学院	山西省	
0	山西省	2016	阳泉市教育学院	山西省	
0	内蒙古自治区	2013	鄂尔多斯教育学院	内蒙古自治区	
0	辽宁省	2013	抚顺职工大学	辽宁省	
0	辽宁省	2013	新乐精密机器公司职工大学	辽宁省	
0	辽宁省	2013	沈阳新光动力机械公司职工大学	辽宁省	
0	辽宁省	2013	辽宁轻工职工大学	辽宁省	
0	辽宁省	2013	铁岭职工大学	辽宁省	
0	辽宁省	2016	本溪钢铁公司职工工学院	辽宁省	
0	辽宁省	2016	辽宁财贸职工大学	辽宁省	
0	吉林省	2011	梨树农村成人高等专科学校	吉林省	
0	吉林省	2013	吉林省行政管理干部学院	吉林省	
0	吉林省	2013	长春市直属机关业余大学	吉林省	
0	吉林省	2015	延边职工大学	吉林省	
0	吉林省	2015	延边黎明农民大学	吉林省	
0	黑龙江省	2013	齐齐哈尔铁路教育学院	铁道部	
0	黑龙江省	2011	黑龙江省职工体育运动技术学院	黑龙江省	
0	黑龙江省	2013	伊春市职工大学	黑龙江省	
0	黑龙江省	2013	鸡西煤炭职工医学院	黑龙江省	
0	黑龙江省	2013	黑龙江省直属机关职工大学	黑龙江省	
0	黑龙江省	2014	黑龙江省农垦管理干部学院	黑龙江省	
0	黑龙江省	2014	黑龙江省绥化地区教育学院	黑龙江省	
0	黑龙江省	2016	佳木斯市联合职工大学	黑龙江省	
0	黑龙江省	2016	黑龙江省科技职工大学	黑龙江省	
