状态	地区	统计年份	学校名称	主管部门	所在地	办学层次	备注
0	北京市	2007	北京现代职业技术学院	北京市	北京市	专科	
0	北京市	2007	北京信息工程学院	北京市	北京市	本科	
0	北京市	2007	北京建筑工程学院	北京市	北京市	本科	
0	北京市	2007	北京机械工业学院	北京市	北京市	本科	
0	北京市	2007	北京吉利大学	北京市教委	北京市	专科	
0	北京市	2007	北京锡华国际经贸职业学院	北京市教委	北京市	专科	
0	北京市	2010	北京新圆明职业学院	北京市教委	北京市	专科	
0	天津市	2007	天津中德职业技术学院	天津市	天津市	专科	
0	天津市	2007	天津对外经济贸易职业学院	天津市	天津市	专科	
0	天津市	2007	天津工业职业技术学院	天津市	天津市	专科	
0	天津市	2007	天津职业大学	天津市	天津市	专科	
0	天津市	2007	天津城市建设学院	天津市	天津市	本科	
0	天津市	2007	天津外国语学院	天津市	天津市	本科	
0	天津市	2007	天津工程师范学院	天津市	天津市	本科	
0	天津市	2007	民办天狮职业技术学院	天津市教委	天津市	专科	
0	河北省	2007	华北煤炭医学院	河北省	唐山市	本科	
0	河北省	2007	河北理工大学	河北省	唐山市	本科	
0	河北省	2010	河北联合大学	河北省	唐山市	本科	
0	河北省	2007	河北职业技术学院	河北省	廊坊市	专科	
0	河北省	2007	河北远东职业技术学院	河北省	廊坊市	专科	
0	河北省	2007	承德民族师范高等专科学校	河北省	承德市	专科	
0	河北省	2007	沧州师范专科学校	河北省	沧州市	专科	
0	河北省	2007	河北工程技术高等专科学校	河北省	沧州市	专科	
0	河北省	2007	石家庄经济学院	河北省	石家庄市	本科	
0	河北省	2007	石家庄铁道学院	河北省	石家庄市	本科	
0	河北省	2010	河北外国语职业学院	河北省	秦皇岛市	专科	
0	河北省	2007	河北通信职业技术学院	河北省		专科	
0	河北省	2007	秦皇岛外国语职业学院	河北省		专科	
0	河北省	2007	保定科技职业学院	河北省教育厅	保定市	专科	
0	河北省	2010	廊坊东方职业技术学院	河北省教育厅	廊坊市	专科	
0	河北省	2007	石家庄东方美术职业学院	河北省教育厅	石家庄市	专科	
0	河北省	2007	石家庄外经贸职业学院	河北省教育厅	石家庄市	专科	
0	河北省	2007	石家庄外语翻译职业学院	河北省教育厅	石家庄市	专科	
0	河北省	2007	石家庄法商职业学院	河北省教育厅	石家庄市	专科	
0	河北省	2007	石家庄联合技术职业学院	河北省教育厅	石家庄市	专科	
0	河北省	2007	石家庄计算机职业学院	河北省教育厅	石家庄市	专科	
0	河北省	2010	石家庄外事职业学院	河北省教育厅	石家庄市	专科	
0	河北省	2011	石家庄城市职业学院	河北省教育厅	石家庄市	专科	
0	河北省	2015	石家庄经济学院华信学院	河北省教育厅	石家庄市	本科	民办
0	河北省	2007	石家庄外国语职业学院	河北省教育厅	邯郸市	专科	
0	河北省	2007	河北京都高尔夫职业学院	河北省教育厅		专科	
0	山西省	2007	北岳职业技术学院	山西省	大同市	专科	
0	山西省	2007	太原大学	山西省	太原市	专科	
0	山西省	2007	太原电力高等专科学校	山西省	太原市	专科	
0	山西省	2007	山西生物应用职业技术学院	山西省	太原市	专科	
0	山西省	2007	山西警官高等专科学校	山西省	太原市	专科	
0	山西省	2007	山西中医学院	山西省	太原市	本科	
0	山西省	2007	吕梁高等专科学校	山西省	离石市	专科	
0	山西省	2007	山西综合职业技术学院	山西省		专科	
0	山西省	2007	山西兴华职业学院	山西省教育厅	太原市	专科	
0	山西省	2010	山西工商职业学院	山西省教育厅	太原市	专科	
0	山西省	2010	山西同文外语职业学院	山西省教育厅	晋中市	专科	
0	内蒙古自治区	2007	内蒙古财税职业学院	内蒙古			
0	内蒙古自治区	2010	内蒙古轩元职业学院	内蒙古教育厅		专科	
0	内蒙古自治区	2007	河套大学	自治区政府	临河市	专科	
0	内蒙古自治区	2007	内蒙古民族高等专科学校	自治区政府	呼和浩特	专科	
0	内蒙古自治区	2007	内蒙古医学院	自治区政府	呼和浩特	本科	
0	内蒙古自治区	2007	内蒙古财经学院	自治区政府	呼和浩特	本科	
0	内蒙古自治区	2007	集宁师范高等专科学校	自治区政府	集宁市	专科	
0	辽宁省	2007	大连民族学院	国家民委	大连市	本科	
0	辽宁省	2007	辽宁警官高等专科学校	辽宁省	大连市	专科	
0	辽宁省	2007	大连外国语学院	辽宁省	大连市	本科	
0	辽宁省	2007	大连水产学院	辽宁省	大连市	本科	
0	辽宁省	2007	辽宁交通高等专科学校	辽宁省	沈阳市	专科	
0	辽宁省	2012	辽宁卫生职业技术学院	辽宁省	沈阳市	专科	
0	辽宁省	2007	沈阳化工学院	辽宁省	沈阳市	本科	
0	辽宁省	2007	沈阳航空工业学院	辽宁省	沈阳市	本科	
0	辽宁省	2010	辽宁信息职业技术学院	辽宁省	辽阳市	专科	
