ID	中文名称	英文名称	国家	国家索引	学校索引	状态（1表示正在加强审查中）
20716	艾因夏姆斯大学	Ain Shams University	埃及	A	A	0
20717	爱资哈尔大学	Al-Azhar University	埃及	A	A	0
20720	埃及日本科技大学	Egypt-Japan University of Science and Technology	埃及	A	A	0
106267	埃及国际大学	Misr International University	埃及	A	A	0
120807	阿瓦萨大学	Hawassa University	埃塞俄比亚	A	A	0
121286	阿玛达科技大学	Adama Science and Technology University	埃塞俄比亚	A	A	0
100164	安东布鲁克纳音乐表演与舞蹈艺术大学	Anton Bruckner Privatuniversität für Musik, Schauspiel und Tanz	奥地利	A	A	0
104280	奥地利科学与技术学院	Institute of Science and Technology Austria	奥地利	A	A	0
121528	安哥拉卢西亚达大学	Universidade Lusíada de Angola	安哥拉	A	A	0
1477	澳大利亚凯斯林大学	Australian Catholic University	澳大利亚	A	A	0
1496	澳大利亚国立大学	The Australian National University	澳大利亚	A	A	0
1497	阿德莱德大学	The University of Adelaide	澳大利亚	A	A	0
1516	澳大利亚圣母大学	The University of Notre Dame Australia	澳大利亚	A	A	0
6785	澳大利亚联邦大学	Federation University Australia	澳大利亚	A	A	0
7407	澳大利亚蓝带学院	Le Cordon Bleu Australia	澳大利亚	A	A	0
12993	澳大利亚商业管理学院	Australian Institute of Business and Management	澳大利亚	A	A	0
21153	澳大利亚航空学院	Aviation Australia	澳大利亚	A	A	0
22884	澳大拉西亚理工学院	Academies Australasia Polytechnic	澳大利亚	A	A	0
22885	澳大利亚音乐学院	The Australian Institute of Music	澳大利亚	A	A	0
22886	澳大利亚应用心理学院	Australian College of Applied Psychology	澳大利亚	A	A	0
22887	埃斯伯利商业技术学院	Eynesbury Institute of Business and Technology	澳大利亚	A	A	0
102854	澳津高等教育学院	OZFORD Institute of Higher Education	澳大利亚	A	A	0
102956	澳大利亚国立管理与商业学院	Australian National Institute of Management and Commerce	澳大利亚	A	A	0
103827	澳大利亚商学院	Australian Institute of Business	澳大利亚	A	A	0
103900	澳大利亚肯特学院	Kent Institute Australia	澳大利亚	A	A	0
104296	埃斯伯利学院	Eynesbury College	澳大利亚	A	A	0
104346	澳大利亚怀特豪斯设计学院	Whitehouse Institute of Design, Australia	澳大利亚	A	A	0
104896	澳大利亚高等教育学院	Australian Institute of Higher Education	澳大利亚	A	A	0
105665	澳大利亚自然疗法学院	Australasian College of Natural Therapies	澳大利亚	A	A	0
105696	澳大利亚理工学院	Polytechnic Institute Australia	澳大利亚	A	A	0
105937	澳大利亚与新西兰特许会计师协会	Chartered Accountants Australia and New Zealand	澳大利亚	A	A	0
111865	阿德莱德高等教育学院	Adelaide Institute of Higher Education	澳大利亚	A	A	0
120934	澳大利亚中汇学院	Edvantage Institute Australia	澳大利亚	A	A	0
4112	爱尔兰国立大学-高威	National University of Ireland, Galway	爱尔兰	A	A	0
4114	爱尔兰国立大学梅努斯分校	National University of Ireland, Maynooth	爱尔兰	A	A	0
22569	爱沙尼亚音乐与戏剧学院	Estonian Academy of Music and Theatre	爱沙尼亚	A	A	0
100480	爱沙尼亚生命科学大学	Estonian University of Life Sciences	爱沙尼亚	A	A	0
101932	爱沙尼亚商学院	Estonian Business School	爱沙尼亚	A	A	0
103903	爱沙尼亚艺术学院	Eesti Kunstiakadeemia	爱沙尼亚	A	A	0
105193	爱沙尼亚艺术学院	Estonian Academy of Arts	爱沙尼亚	A	A	0
22872	阿塞拜疆国立石油与工业大学	Azerbaijan State Oil and Industry University	阿塞拜疆	A	A	0
101650	阿塞拜疆国立师范大学	Azerbaijan State Pedagogical University	阿塞拜疆	A	A	0
102664	阿塞拜疆国立经济大学	Azerbaijan State University of Economics	阿塞拜疆	A	A	0
104640	阿塞拜疆理工大学	Azerbaijan Technical University	阿塞拜疆	A	A	0
105808	阿塞拜疆建筑大学	Azerbaijan University of Architecture and Construction	阿塞拜疆	A	A	0
106632	阿塞拜疆外交大学	ADA University	阿塞拜疆	A	A	0
121186	阿布·阿里·伊本·西那喀布尔医科大学	Kabul University of Medical Sciences Abu Ali Ibn Sina	阿富汗	A	A	0
103215	安纳巴巴吉穆赫塔尔大学	Université Badji Mokhtar -Annaba	阿尔及利亚	A	A	0
121015	阿卜·艾勒卡西姆·萨达拉阿尔及尔第二大学	Université d’Alger 2 Abou el Kacem Saâdallah	阿尔及利亚	A	A	0
103666	阿尔巴尼亚地中海大学	Universiteti Mesdhetar I Shqiperise	阿尔巴尼亚	A	A	0
21832	阿根廷企业大学	Universidad Argentina de la Empresa	阿根廷	A	A	0
104454	阿根廷约翰·肯尼迪大学	Universidad Argentina John F. Kennedy	阿根廷	A	A	0
