# 合作办学高等学校名单

http://www.moe.gov.cn/s78/A03/ghs_left/moe_634/tnull_851.html

编号	合作办学学校	签署协议时间
1	重庆大学 四川大学	1991年1月
2	重庆大学 汕头大学	1991年1月
3	重庆大学 第三军医大学	1991年1月
4	重庆大学 重庆建筑大学	1991年1月
5	重庆大学 西南农业大学	1991年1月
6	重庆大学 西南政法大学	1991年1月
7	重庆大学 四川美术学院	1991年1月
8	青海大学 青海师范大学 青海民族学院 青海医学院 青海师范高等专科学校 青海广播电视大学 青海民族师范高等专科学校	1995年6月
9	重庆石油高专 西南石油学院	1996年4月
10	四川美术学院 成都市职大	1996年10月
11	西南师范大学 重庆大学	1996年12月
12	北京林业大学 北京林业管理干部学院	1997年2月
13	兰州大学 兰州铁道学院	1997年3月
14	重庆大学 华南师范大学	1997年4月
15	青海师范大学 青海师范高等专科学校	1997年8月
16	重庆大学 华南理工大学	1997年12月
17	山东工业大学 山东电力高等专科学校	1997年12月
18	山西大学 太原理工大学 山西医科大学 山西农业大学 山西财经大学 华北工学院 太原重型机械学院 太原电力专科学校 山西财税专科学校 太原师范专科学校 晋中师范专科学校 太原大学	1998年1月
19	南昌职业技术师范学院 江西纺织工业大学 江西机械职工大学	1998年1月
20	九江财经高等专科学校 华东冶金学院	1998年4月
21	宜春医学专科学校 武汉大学	1998年6月
22	中国药科大学 南京邮电学院 南京化工大学 南京经济学院 南京建筑工程学院 南京铁道医学院 南京机械高等专科学校	1998年6月
23	景德镇陶瓷学院 上海轻工业高等专科学校	1998年9月
24	景德镇高等专科学校 武汉大学	1998年9月
25	江西中医学院 安徽中医学院 福建中医学院	1998年11月
26	九江财经高等专科学校 解放军后勤工程学院 解放军空军雷达学院	1998年11月
27	上饶师范专科学校 上饶教育学院（筹） 上饶医学分院	1998年12月
28	北京邮电大学 中国人民大学 北京师范大学 北方交通大学 北京科技大学 北京航空航天大学 北京医科大学 北京理工大学 中国地质大学	1986.12--
29	山东大学 山东医科大学	1988.9--
30	中国协和医科大学 北京医科大学	1989.9--
31	昆明医学院 海南省农垦卫校	1989.9--2001.9
32	广州中医药大学 中山大学	1991--
33	北京中医药大学 南开大学	1991.8--2000
34	宜宾师范高等专科学校 四川师范大学	1993--2000
35	北京语言文化大学 中国金融学院	1993.12--
36	大连理工大学 大连医科大学	1993.12--
37	北京语言文化大学 河北大学	1993.7--
38	北京机械工业学院 北京信息工程学院	1994--
39	杭州大学 杭州电子工业学院 浙江省政法管理干部学院	1994--长期
40	西南师范大学 苏州大学	1994.1--
41	东北林业大学 东北农业大学	1994.10--
42	东北林业大学 黑龙江大学	1994.10--
43	东北林业大学 黑龙江中医药大学	1994.10--
44	西北工业大学 西北大学 西安电子科技大学	1994.10--
45	北京联合大学 北京市成人教育学院	1994.11--
46	北京中医药大学 对外经济贸易大学 中国金融学院 北京化工大学 北京服装学院	1994.12--
47	吉林大学 白求恩医科大学	1994.12--
48	南昌大学 南昌航空工业学院	1994.12--
49	长春建筑高等专科学校 长春师范学院	1994.3--
50	长春建筑高等专科学校 吉林电气化高等专科学校	1994.3--
51	吉林工业大学 长春邮电学院	1994.6--
52	吉林工业大学 东北师范大学	1994.6--
53	华南理工大学 暨南大学 华南师范大学 广东民族学院 华南农业大学 广东工业大学(五山校区)	1994.6--
54	重庆工业管理学院 四川联合大学	1994.6--
55	中国协和医科大学 北京医学高等专科学校	1994.9--
56	海南大学 海南师范学院 海南医学院	1994.9--
57	武汉大学 华中理工大学 武汉水利电力大学 武汉测绘科技大学 中国地质大学	1994.9--长期
58	北京机械工业学院 华北电力大学	1995--
59	广州大学 中山大学	1995--
60	电子科技大学 华西医科大学	1995--
61	邵阳高等专科学校 湖南大学	1995--1999
62	宜宾师范高等专科学校 宜宾电视大学	1995--2000
63	湖南医科大学 武汉大学	1995--2010
64	北京轻工业学院 北京商学院	1995.1--
65	南昌大学 江西师范大学	1995.10--
