留学国别	院校中文	院校外文
阿尔巴尼亚	发罗拉伊斯梅尔·捷马利大学	University “Ismail Qemali” Vlore
阿尔及利亚	国立电信信息技术与传播学院	Institut National des Télécommunications et des Technologies de l'Information et de la Communication
阿尔及利亚	西迪贝勒阿巴斯吉拉里里耶比思大学	جامعة جيلالي ليابس سيدي بلعباس
阿根廷	贸易科学高级研究基金会私立学院	Instituto Privado “Fundación Altos Estudios en Ciencias Comerciales”
埃及	米尼亚大学	Minia University
埃及	苏伊士大学	Suez University
奥地利	施泰尔马克师范学院	Pädagogische Hochschule Steiermark
奥地利	林茨教区私立师范学院	Private Pädagogische Hochschule der Diözese Linz
澳大利亚	戈登技术与继续教育学院	Gordon Institute of TAFE
澳大利亚	澳大利亚圣母大学	The University of Notre Dame Australia
巴基斯坦	印度河谷艺术与建筑学院	Indus Valley School of Art & Architecture
巴基斯坦	空间技术学院	Institute of Space Technology
巴西	FEI大学中心	Centro universitário FEI
巴西	但丁大学中心	Centro Universitário Dante
巴西	塔图伊技术学院	Faculdade de Tecnologia de Tatuí
巴西	拉夫拉斯联邦大学	Universidade Federal de Lavras
巴西	联合都市大学中心	Centro Universitário das Faculdades Metropolitanas Unidas
巴西	萨尔加多德奥利维拉大学	Universidade Salgado de Oliveira
巴西	蒂拉登特斯大学	Universidade Tiradentes
巴西	西圣卡塔琳娜大学	Universidade do Oeste de Santa Catarina
巴西	马托格罗索州联邦大学	Universidade Federal de Mato Grosso
白俄罗斯	白俄罗斯共和国边防学院	Институт пограничной службы Республики Беларусь
白俄罗斯	白俄罗斯国家科学院热交换与质量交换研究所	Институт тепло- и массообмена имени А.В. Лыкова НАН Беларуси
保加利亚	索非亚国家体育学院“瓦西尔•列夫斯基”	National Sports Academy“Vassil Levski”- Sofia
贝宁共和国	阿波美-卡拉维大学	Université d'Abomey-Calavi
比利时	布列塔尼大西洋管理学院	EMBA : Ecole de Management Bretagne Atlantique
比利时	75图像艺术市立高等学校	Ecole Supérieure Communale des Arts de l'Image le 75
波兰	卡托维兹经济大学	University of Economics in Katowice
波兰	国家核物理研究中心	National Centre for Nuclear Research
