group,ROW_ID,COUNTRY,count,verified
A,1,埃及,28,0
A,2,埃塞俄比亚,8,0
A,3,奥地利,43,0
A,4,澳大利亚,115,0
A,5,爱尔兰,14,0
A,6,爱沙尼亚,8,0
A,7,阿塞拜疆,11,0
A,8,阿富汗,13,0
A,9,阿尔及利亚,21,0
A,10,阿尔巴尼亚,6,0
A,11,阿曼,2,0
A,12,阿根廷,27,0
A,13,阿联酋,14,0
B,1,保加利亚,16,0
B,2,冰岛,3,0
B,3,北马其顿,2,0
B,4,博茨瓦纳,1,0
B,5,巴勒斯坦,4,0
B,6,巴基斯坦,83,0
B,7,巴巴多斯,1,0
B,8,巴拿马,4,0
B,9,巴西,102,0
B,10,布基纳法索,1,0
B,11,比利时,39,0
B,12,波兰,82,0
B,13,波斯尼亚和黑塞哥维那,4,0
B,14,玻利维亚,3,0
B,15,白俄罗斯,52,0
B,16,秘鲁,16,0
B,17,贝宁共和国,3,0
C,1,朝鲜,7,0
D,1,丹麦,20,0
D,2,多哥,1,0
D,3,多米尼加,1,0
D,4,德国,284,0
E,1,俄罗斯,473,0
E,2,厄瓜多尔,11,0
F,1,斐济,3,0
F,2,法国,530,0
F,3,芬兰,35,0
F,4,菲律宾,157,6
G,1,刚果（布）,1,0
G,2,刚果（金）,1,0
G,3,古巴,8,0
G,4,哥伦比亚,45,0
G,5,哥斯达黎加,7,0
G,6,格林纳达,1,0
G,7,格鲁吉亚,13,0
H,1,哈萨克斯坦,44,0
H,2,荷兰,47,0
H,3,韩国,270,0
H,4,黑山,2,0
J,1,几内亚,2,0
J,2,加拿大,152,0
J,3,加纳,8,0
J,4,吉尔吉斯斯坦,24,0
J,5,捷克,26,0
J,6,柬埔寨,7,0
J,7,津巴布韦,5,0
K,1,克罗地亚,5,0
K,2,卡塔尔,2,0
K,3,喀麦隆,5,0
K,4,科威特,2,0
K,5,科特迪瓦,3,0
K,6,肯尼亚,8,0
L,1,列支敦士登,1,0
L,2,利比亚,2,0
L,3,卢旺达,4,0
L,4,卢森堡,2,0
L,5,拉脱维亚,8,0
L,6,立陶宛,12,0
L,7,罗马尼亚,27,0
L,8,老挝,4,0
L,9,黎巴嫩,7,0
M,1,墨西哥,44,0
M,2,孟加拉国,20,0
M,3,摩尔多瓦,6,0
M,4,摩洛哥,15,0
M,5,摩纳哥,2,0
M,6,毛里求斯,2,0
M,7,缅甸,10,0
M,8,美国,1546,0
M,9,莫桑比克,1,0
M,10,蒙古,34,4
M,11,马尔代夫,1,0
M,12,马来西亚,119,0
M,13,马耳他,3,0
M,14,马达加斯加,5,0
N,1,南非,47,0
N,2,尼加拉瓜,3,0
N,3,尼日利亚,29,0
N,4,尼日尔,2,0
N,5,尼泊尔,4,0
N,6,挪威,21,0
N,7,纳米比亚,2,0
P,1,葡萄牙,27,0
R,1,日本,924,0
R,2,瑞典,31,0
R,3,瑞士,23,0
S,1,塞尔维亚,17,0
S,2,塞浦路斯,16,0
S,3,斯洛伐克,13,0
S,4,斯洛文尼亚,6,0
S,5,斯里兰卡,9,0
S,6,沙特阿拉伯,12,0
S,7,苏丹,11,0
T,1,土库曼斯坦,3,0
T,2,土耳其,54,0
T,3,坦桑尼亚,8,0
T,4,塔吉克斯坦,14,0
T,5,泰国,104,0
T,6,特立尼达和多巴哥,4,0
T,7,突尼斯,8,0
W,1,乌克兰,212,1
W,2,乌兹别克斯坦,28,0
W,3,乌干达,5,0
W,4,乌拉圭,2,0
W,5,危地马拉,3,0
W,6,委内瑞拉,13,0
W,7,文莱,1,0
X,1,匈牙利,31,0
X,2,叙利亚,4,0
X,3,希腊,12,0
X,4,新加坡,15,0
X,5,新西兰,67,0
X,6,西班牙,71,0
Y,1,也门,8,0
Y,2,亚美尼亚,17,0
Y,3,以色列,15,0
Y,4,伊拉克,4,0
Y,5,伊朗,52,0
Y,6,印度,252,2
Y,7,印度尼西亚,75,1
Y,8,意大利,187,0
Y,9,牙买加,9,0
Y,10,约旦,10,0
Y,11,英国,161,0
Y,12,越南,39,0
Z,1,智利,19,0
Z,2,赞比亚,2,0
,,利比里亚,1,0
,,安哥拉,1,0
,,马拉维,1,0
